date,note
2018-08-27T00:00:00Z,Right after leaving for 3 days at Weber's
2018-09-04T00:00:00Z,at camp bow wow
2018-10-01T00:00:00Z,dogs at Webers from Sept 18-30
2018-10-09T00:00:00Z,dogs at Webers from Oct 5-8
2018-10-16T00:00:00Z,on 10/15 all had hair cuts
2018-10-22T00:00:00Z,dogs at Webers from Oct 18-22
2018-11-18T00:00:00Z,dogs at Webers from Nov 10-17
2019-01-08T00:00:00Z,"Simone/Gagne  at Webers from Dec 20-Jan 4, Raisin at PC Dec 20-Jan7"
2019-09-06T00:00:00Z,Gagne died 9/8/2019
2019-11-04T00:00:00Z,on vacation? Dogs at kennel?
2020-02-03T00:00:00Z,at Kennel?
2020-05-23T00:00:00Z,first haircut in 3-4 months
2020-06-23T00:00:00Z,"in PC June 23-July 10, no wts taken, Raisin with us, Simone in kennel"
2020-08-07T00:00:00Z,"in Denver and PC aug 9-aug 31, no wts taken, Raisin with us, Simone in kennel"
